@relation tic-tac-toe-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last

@attribute top-left-square:=x		{1,0}
@attribute top-left-square:=o		{1,0}
@attribute top-left-square:=b		{1,0}
@attribute top-middle-square:=x		{1,0}
@attribute top-middle-square:=o		{1,0}
@attribute top-middle-square:=b		{1,0}
@attribute top-right-square:=x		{1,0}
@attribute top-right-square:=o		{1,0}
@attribute top-right-square:=b		{1,0}
@attribute middle-left-square:=x	{1,0}
@attribute middle-left-square:=o	{1,0}
@attribute middle-left-square:=b	{1,0}
@attribute middle-middle-square:=x	{1,0}
@attribute middle-middle-square:=o	{1,0}
@attribute middle-middle-square:=b	{1,0}
@attribute middle-right-square:=x	{1,0}
@attribute middle-right-square:=o	{1,0}
@attribute middle-right-square:=b	{1,0}
@attribute bottom-left-square:=x	{1,0}
@attribute bottom-left-square:=o	{1,0}
@attribute bottom-left-square:=b	{1,0}
@attribute bottom-middle-square:=x	{1,0}
@attribute bottom-middle-square:=o	{1,0}
@attribute bottom-middle-square:=b	{1,0}
@attribute bottom-right-square:=x	{1,0}
@attribute bottom-right-square:=o	{1,0}
@attribute bottom-right-square:=b	{1,0}
@attribute Class: 					{positive,negative}

@data
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,positive
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,positive
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,positive
